DESC,BED,BATH,PRICE,LOCATION
Apartment for rent at Ofankor,2,2,1500,"Accra, Apartments"
Executive 3 Bedroom House For Rent At Abelemkpe,3,4,"10271","Accra, Houses"
A two bedroom apartment for rent at Santasi,2,1,600,"Kumasi, Apartments"
"Four Bedroom house for rent At Atafoa,Kumasi",4,3,550,"Kumasi, Houses"
Executive 3 Bedroom House For Rent At West Legon,3,3,"2400","Accra, Houses"
3 bedrooms apartment for rent at Nana krom,3,2,"1200","Accra, Apartments"
Executive 3 Bedroom House For Rent At Westland,3,2,"3575","Accra, Houses"
3 BEDRM APARTMENT FOR RENT AT SPINTEX,3,3,"14500","Accra, Apartments"
4 BEDRM HOUSE FOR RENT AT SPINTEX,4,3,"7540","Accra, Houses"
Newly Built 3 Bed Hous For Rent At Lakeside,3,4,"5000","Accra, Houses"
Newly Built 3 Bed Furnished House For Rent At Lakeside,3,4,"7000","Accra, Houses"
3 BEDRM APART FOR RENT AT SPINTEX FULLY FURNISHED,3,3,"14500","Accra, Apartments"
Executive 3 Bedroom House With A BQ For Rent At Adenta,3,2,"2300","Accra, Houses"
Luxurious 2bedroom apartment for rent at Ogbojo,2,2,"2300","Accra, Houses"
Executive 4 Bedroom House For Rent At Spintex,4,5,"6600","Accra, Houses"
Executive Chamber and Hall For Rent At Achimota Gulf Hills,1,1,900,"Accra, Apartments"
2 bedrooms apartment for rent at Spintex K. f. c,2,2,"1000","Accra, Apartments"
Executive 3 Bedroom Apartment For Rent At Spintex,3,3,"2300","Accra, Apartments"
Executive 5 Bedroom House With 3 BQ For Rent At East Legon,5,5,"20350","Accra, Houses"
4 BEDRM HSE + 2 BQ RENT @ SPINTEX,4,4,"8700","Accra, Houses"
ELEGANT 4 BEDROOM HOUSE @ TSE ADDO RENT,4,4,"8550","Accra, Houses"
Executive 4 Bedroom House For Rent At Teshie Bush Road,4,4,"4675","Accra, Houses"
4 BEDRM APT. WITH BQ RENT @ AIRPORT,4,4,"22000","Accra, Apartments"
executive 3 Bedroom self compound for rent at East legon hills,3,2,"1200","Accra, Houses"
Chamber And Hall Is For Rent At North Kansihe,1,1,600,"Accra, Apartments"
3bedroom Self Compound For Rent Spintex,3,2,"1600","Accra, Houses"
Splash 2bedroom Apartment With A/C Up For Rent Spintex 1yr,2,2,"1200","Accra, Apartments"
Luxurious Singleroom Apartment For Rent At Spintex,1,1,500,"Accra, Apartments"
Gated 2bedroom Apartment Up For Rent Lashibi Emef Estate 18months,2,1,600,"Accra, Apartments"
EXEC SINGLE ROOM S/C @ ACHIMOTA 4 RENT,1,1,200,"Accra, Apartments"
2 BEDRM APARTMENT FOR RENT AT SPINTEX,2,2,"1000","Accra, Apartments"
EXEC 2 BEDROOM APT @ EAST LEGON 4 RENT,2,1,600,"Accra, Apartments"
4 BEDRM APARTMENT FOR RENT AT SPINTEX,4,4,"11600","Accra, Apartments"
EXEC 2 BEDROOM APT @ SPINTEX 4 RENT,2,1,600,"Accra, Apartments"
9bedrooms Hse for rent at Achimota golf course,9,9,"12000","Accra, Houses"
2 Bedrooms self compound for rent at school Junction area,2,1,"1000","Accra, Houses"
Chamber And A Hall Self Contain For Rent At Lapaz Race Course,1,1,350,"Accra, Apartments"
Mallicious wall and gated chamba n Hal selfcontain for rent in spintex,1,1,400,"Accra, Apartments"
EXEC SINGLE ROOM S / C @ BROADCASTING 4 RENT,1,1,200,"Accra, Apartments"
5 Bedroom House for Rent at West Trasacco,5,5,"18550","Accra, Houses"
3 Bedroom unfinished apartment for Rent @East legon,3,3,"3920","Accra, Apartments"
Spacious single self contained for rent at racecourse,1,1,300,"Accra, Apartments"
Luxurious modern neatly built 3bedrm 3washrm for rent Spintex 1yr,3,3,"2000","Accra, Apartments"
newly buit 3 bed house for rent at taifa,3,3,"1500","Accra, Houses"
