Place,Status,Region,Lat,Lon,Elev,Pop,Bed,Bath,Price,isFurnished
Ofako,2,1,5.59,-0.45,249,16986,2,2,150,0
Ofako,1,1,5.66,-0.27,246,407491,2,2,150,0
Ofakor,2,1,5.59,-0.45,249,16986,2,2,150,0
Ofankor,1,1,5.66,-0.27,246,407491,2,2,150,0
Ablemkpe,1,1,5.61,-0.22,269,800486,3,4,1027,0
Ablenkpe,1,1,5.61,-0.22,269,800486,3,4,1027,0
Legion,1,1,5.65,-0.18,249,445789,3,3,240,0
Legon,1,1,5.65,-0.18,249,445789,3,3,240,0
West Legon Residential,1,1,5.65,-0.21,249,494494,3,3,240,0
Dankwakroa,2,1,5.52,-0.58,246,19043,3,2,120,0
Dankwakrom,3,1,5.71,-0.52,830,39019,3,2,120,0
Dankwakrom,2,1,5.52,-0.58,246,19043,3,2,120,0
Adentan,1,1,5.70,-0.17,249,214429,3,2,230,0
Ogbodzo,1,1,5.67,-0.14,246,314959,2,2,230,0
Ogbojo,1,1,5.67,-0.14,246,314959,2,2,230,0
Spintex Road,1,1,5.64,-0.10,219,306890,4,5,660,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,3,230,0
Legion,1,1,5.65,-0.18,249,445789,5,5,2035,0
Legon,1,1,5.65,-0.18,249,445789,5,5,2035,0
North Kaneshie,1,1,5.59,-0.24,331,810299,1,1,600,0
North Labone Estate,1,1,5.57,-0.18,262,618458,1,1,600,0
North Ridge,1,1,5.57,-0.19,282,575806,1,1,600,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,1,500,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,3,200,0
Legion,1,1,5.65,-0.18,249,445789,4,4,2023,0
Legon,1,1,5.65,-0.18,249,445789,4,4,2023,0
Katamanso,3,1,5.75,-0.08,246,74381,4,4,200,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,3,4,15600,1
Airport Residential Area,1,1,5.61,-0.18,249,760954,5,6,2640,0
Osu,1,1,5.56,-0.19,278,505871,2,3,7650,1
Legion,1,1,5.65,-0.18,249,445789,3,3,180,0
Legon,1,1,5.65,-0.18,249,445789,3,3,180,0
Spintex Road,1,1,5.64,-0.10,219,306890,4,5,530,0
Awudome Estate,1,1,5.57,-0.23,334,741791,4,4,470,0
Dansoman Estate,1,1,5.54,-0.26,416,565491,4,4,470,0
Kanda Estate,1,1,5.58,-0.19,278,698987,4,4,470,0
Nyaniba Estates,1,1,5.56,-0.18,269,549820,4,4,470,0
Parakuo Estates,1,1,5.64,-0.23,249,590864,4,4,470,0
Sakumono Estates,1,1,5.62,-0.05,236,144279,4,4,470,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,5,2340,0
Ogbojo,1,1,5.67,-0.14,246,314959,3,4,200,0
Legon,1,1,5.65,-0.18,249,445789,4,4,648,0
North Ridge,1,1,5.57,-0.19,282,575806,4,4,648,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,3,4,10400,1
Legion,1,1,5.65,-0.18,249,445789,2,2,300,0
Legon,1,1,5.65,-0.18,249,445789,2,2,300,0
East Ridge,1,1,5.56,-0.19,282,575806,3,4,1605,0
North Ridge,1,1,5.57,-0.19,282,575806,3,4,1605,0
West Ridge,1,1,5.56,-0.20,298,623367,3,4,1605,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,6,7,2080,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,3,250,0
Osu,1,1,5.56,-0.19,278,505871,3,3,1170,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1350,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1350,0
Legion,1,1,5.65,-0.18,249,445789,3,3,11991,1
Legon,1,1,5.65,-0.18,249,445789,3,3,11991,1
Ashonman,1,1,5.70,-0.21,187,240340,2,2,150,0
Ashouman,1,1,5.70,-0.21,187,240340,2,2,150,0
Atoman,3,1,5.79,-0.49,246,36331,2,2,150,0
Legion,1,1,5.65,-0.18,249,445789,2,2,8250,1
Legon,1,1,5.65,-0.18,249,445789,2,2,8250,1
Osu,1,1,5.56,-0.19,278,505871,1,1,600,0
Spintex Road,1,1,5.64,-0.10,219,306890,4,4,430,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1998,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1998,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,120,0
Roman Bridge,1,1,5.60,-0.20,259,779245,3,4,1130,0
West Ridge,1,1,5.56,-0.20,298,623367,3,4,1130,0
Danso,3,1,5.75,-0.50,282,38986,2,3,160,0
Dansoman Estate,1,1,5.54,-0.26,416,565491,2,3,160,0
Janman,1,1,5.53,-0.33,246,351283,2,3,160,0
Janman,1,1,5.68,-0.28,242,267360,2,3,160,0
Old Damsoman,1,1,5.53,-0.25,370,450282,2,3,160,0
Danso,3,1,5.75,-0.50,282,38986,3,4,180,0
