Name,What,Region,Country,Lat,Long,Elev
Aboaso,1,2,6.8076157,-1.5454459,830,640282
Abofour,1,2,7.1335336,-1.7420626,830,640282
Abrepo,1,2,6.7559335,-1.6821083,830,640282
Abuakwa Ashanti,1,2,6.29952,-1.8397577,830,640282
Adanwomase,1,2,6.8138467,-1.4835473,830,640282
Aduman,1,2,6.8166881,-1.6254218,830,640282
Afrancho,1,2,6.7789332,-1.6464916,830,640282
Agogo,1,2,6.799647,-1.0935689,830,640282
Agona,1,2,6.9346274,-1.4994193,830,640282
Agroyesum,1,2,6.4129974,-1.8837565,830,640282
Ahwiaa,1,2,6.90014,-1.6732694,830,640282
Ahwiren,1,2,5.7366953,-0.14883,830,640282
Akrofonso,4,2,6.7391578,-2.458572,,830
Akrofuom,1,2,6.119134,-1.6768315,830,640282
Akrokerri,1,2,6.2937785,-1.6334009,830,640282
Akumadan,1,2,7.3997061,-1.9709303,830,640282
Amakoma,1,2,6.6793022,-1.6100658,830,640282
Ankasi,1,2,6.3897191,-1.5566948,830,640282
Antoa,1,2,6.7728488,-1.5005181,830,640282
Anwia-Nkwanta,1,2,6.6886551,-1.6259878,830,640282
Asafo Kumasi,1,2,6.6886551,-1.6259878,830,640282
Asaman,1,2,5.5806741,-0.2598337,830,640282
Asamang,1,2,5.9047797,-1.5112366,830,640282
Asankare,1,2,6.6042569,-1.0492802,830,640282
Asiwa,1,2,6.4280657,-1.33677,830,640282
Asokore,1,2,6.7178275,-1.5730084,830,640282
Asokore Mampong,1,2,6.7178275,-1.5730084,830,640282
Atimatim,1,2,5.8697201,-0.5796977,830,640282
Barekese,1,2,6.8528452,-1.7489727,830,640282
Bekwai,1,2,6.4537375,-1.5890479,830,640282
Beposo,1,2,6.4552728,-1.316911,830,640282
Bobiri,1,2,6.6882773,-1.3653822,830,640282
Bodwesango,1,2,6.2849566,-1.4210303,830,640282
Bompata,1,2,6.6255404,-1.0619372,830,640282
Bonwire,1,2,6.1997383,-1.3908838,830,640282
Bremang,1,2,5.8998124,-1.4284981,830,640282
Bunso,1,2,6.2898633,-0.4733281,830,640282
Buoho,1,2,6.7852201,-1.6652363,830,640282
Dadease,1,2,6.8820999,-1.3697864,830,640282
Datano,1,2,6.2633955,-2.4924374,830,640282
Dominase,1,2,5.3438328,-1.09447,830,640282
Dompoase,1,2,6.3106179,-1.5423229,830,640282
Effiduase,1,2,6.3857661,-1.408181,830,640282
Ejisu,1,2,6.7165404,-1.5320567,830,640282
Ejura,1,2,7.3825764,-1.3682055,830,640282
Esase Bontefufuo,1,2,6.5600393,-1.8924066,830,640282
Fawoade,1,2,6.7533962,-1.5943253,830,640282
Jachie-Pramso,1,2,6.563333,-1.5185233,830,640282
Jacobu,1,2,6.3465742,-1.6764451,830,640282
Jamasi,1,2,6.9742026,-1.4836693,830,640282
Juaben,1,2,6.7892784,-1.4739299,830,640282
Juaso,1,2,6.58698,-1.1406471,830,640282
Kasei,1,2,7.4829354,-1.2823725,830,640282
Kodie,1,2,6.8001158,-1.6555883,830,640282
Kokofu,1,2,6.5037826,-1.535511,830,640282
Konongo,1,2,6.6276907,-1.2457689,830,640282
Kortwia-Abodom,1,2,6.453231,-1.5860364,830,640282
Kumasi,1,2,6.6904067,-1.7561949,830,640282
Kumawu,1,2,6.9092364,-1.2841559,830,640282
Kuntanase,1,2,6.5315555,-1.49354,830,640282
Kwadaso,1,2,6.6927179,-1.6610385,830,640282
Maabang,1,2,6.9957566,-2.2271348,830,640282
Mampong,1,2,7.1478287,-1.5578259,830,640282
Mamponteng,1,2,6.7833541,-1.5754218,830,640282
Mankranso,1,2,6.8179429,-1.8716377,830,640282
Manso Adubia,1,2,6.401744,-1.9390266,830,640282
Manso Atwere,1,2,6.4571236,-1.8723009,830,640282
Manso Nkwanta,1,2,6.4712806,-1.893956,830,640282
Mpasatia,1,2,6.6620711,-1.8505096,830,640282
New Edubiase,1,2,6.0432454,-1.3933048,830,640282
Nkawie,1,2,6.6642306,-1.825704,830,640282
Nsuta,1,2,7.0156057,-1.3885689,830,640282
Nsuta-Beposo,1,2,6.9920828,-1.3726017,830,640282
Ntonso,1,2,6.8296887,-1.5273142,830,640282
Nyinahin,1,2,6.5988108,-2.1267987,830,640282
Odumasi,1,2,6.7069538,-1.6307295,830,640282
Odumasi Krobo,1,2,6.1448209,-0.0068666,830,640282
Oduom,1,2,6.6973623,-1.544273,830,640282
Offinso,1,2,7.2109153,-2.1949155,830,640282
Ofoase-Kokoben,1,2,6.4789605,-1.6492797,830,640282
Onwe,1,2,6.6823179,-1.4604522,830,640282
Oyoko,1,2,6.5525739,-1.5757167,830,640282
Pankrono,1,2,6.7527373,-1.6080811,830,640282
Sakora Wonoo,1,2,6.7953819,-1.5060402,830,640282
Sekyedumase,1,2,7.4167894,-1.7444759,830,640282
Sewua,1,2,6.6441742,-1.5742683,830,640282
Suame Magazine,1,2,6.7239165,-1.664858,830,640282
Tafo,1,2,6.7353469,-1.6384013,830,640282
Tano Dumasi,1,2,6.9346274,-1.4994193,830,640282
Tanoso,1,2,5.8781407,-3.2002503,830,640282
Tepa,1,2,7.0077894,-2.1855928,830,640282
Toase,1,2,6.6636483,-1.8186665,830,640282
Tontokrom,1,2,6.2485864,-2.0011859,830,640282
Trabuom,1,2,6.6109095,-1.765353,830,640282
Wiamoase,1,2,7.0533001,-1.5288592,830,640282
Abesim,2,3,7.2900121,-2.2967741,1000,14169
Acherensua,2,3,6.9786753,-2.3056269,1000,14169
Amanten,2,3,7.5438051,-1.2117578,1000,14169
Asutifi,2,3,6.9477486,-2.7675779,1000,14169
ATEBUBU,2,3,7.7532401,-0.9924603,1000,14169
BECHEM,2,3,7.0874137,-2.0367623,1000,14169
BEREKUM,2,3,7.4529854,-2.5976875,1000,14169
Biadan,2,3,7.4256872,-2.5964212,1000,14169
Bomaa,2,3,7.0845817,-2.1764946,1000,14169
Bono state,2,3,7.5837955,-2.5499205,1000,14169
Buoyem,2,3,7.6667925,-1.9714312,1000,14169
BUSUNYA,2,3,7.68312,-1.6541334,1000,14169
Busunya,2,3,7.6883877,-1.6667033,1000,14169
Chiraa,2,3,7.3963655,-2.1932316,1000,14169
Domeabra,2,3,5.588493,-0.4043275,1000,14169
DORMA-AHENKRO,2,3,7.2725243,-2.8868725,1000,14169
Dormaa,2,3,7.2725243,-2.8868725,1000,14169
DROBO,2,3,7.5933237,-2.8247309,1000,14169
Drobo,2,3,7.5933237,-2.824731,1000,14169
DUAYAW-NKWANTA,2,3,7.1779661,-2.1154692,1000,14169
Fiapre,2,3,7.3615779,-2.385104,1000,14169
GOASO,2,3,6.8016499,-2.5267268,1000,14169
Hwidiem,2,3,6.9348405,-2.364893,1000,14169
Japekrom,2,3,7.5933237,-2.824731,1000,14169
